1023	971	36.38
1023	963	36.2
1023	960	36.11
1023	949	35.84
1023	926	35.26
1023	926	35.24
1023	871	33.88
1023	837	32.97
1023	834	32.96
1022	781	31.66
988	739	30.67
983	736	30.48
931	680	29.1
891	641	28.13
887	640	28.11
838	586	26.66
804	555	25.9
797	547	25.7
737	485	24.21
702	453	23.33
696	445	23.12
643	390	21.75
608	357	20.82
592	339	20.43
540	284	19.12
510	257	18.43
489	236	17.81
446	189	16.73
417	163	15.98
387	132	15.21
345	89	14.15
315	61	13.36
293	40	12.84
250	0	11.73
220	0	11.1
192	0	10.27
150	0	9.15
128	0	8.6
96	0	7.81
57	0	6.81
40	0	6.48
38	0	6.41
