688;627;4.04
720;595;10.85
689;562;17.87
656;528;25.11
621;493;32.55
585;457;40.21
550;422;47.66
514;385;55.33
476;346;63.83
434;310;71.49
393;281;77.66
356;257;82.77
326;241;86.17
303;232;88.09
288;231;100.00
281;231;100.00
279;231;100.00
308;231;98.30
325;234;87.66
346;242;85.96
370;255;83.19
395;271;79.79
419;289;75.96
441;310;67.23
478;347;63.62
490;361;60.64
504;373;58.09
517;387;55.11
533;404;51.49
551;422;47.66
570;441;43.62
589;460;39.58
606;478;35.74
621;493;32.55
631;503;30.42
637;509;29.15
641;513;28.30
646;518;27.23
656;528;25.11
674;546;21.28
699;571;15.96
723;602;9.36
747;635;2.34
